dataset,model,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,false_positive_rate_mean,false_positive_rate_std,training_seconds_mean,training_seconds_std,prediction_seconds_mean,prediction_seconds_std
CICIDS2017,ANN,5,0.9816141895843201,0.011006631258142892,0.9074203318635776,0.05482957556906923,0.9957541583995357,0.0005985044789324605,0.948854283769496,0.029781330710843087,0.9982232296877543,0.0013219190410364932,0.9913891891749353,0.006413157162779701,0.021255465065755864,0.0132209366444534,102.1933905999991,53.261963470992285,0.7885546599864028,0.034544989486157626
CICIDS2017,Linear SVM,5,0.8912106289576117,0.03096277492578801,0.6237731089243064,0.06552017555301605,0.9380533749500051,0.011955389740558774,0.7472651359649966,0.04745884696067491,0.959231358828459,0.010196934189755674,0.8654646649145389,0.04789188429082979,0.11829593400699337,0.039327815796251483,14.141509880009107,6.828584490913719,0.09856766000157222,0.004791185280699406
CICIDS2017,Logistic Regression,5,0.8979701569946363,0.03514461061809865,0.6403629922570787,0.07571637706031789,0.9465246680730592,0.0057347744865088495,0.7617054342625137,0.057384908145486975,0.9619849958414707,0.012808883810118332,0.8760970617031066,0.05727522844217768,0.11188380239659149,0.04229141198692554,3.1250627199886365,2.1700535255655806,0.12605726001784207,0.00692105759577466
CICIDS2017,Random Forest,5,0.999199282370717,6.512910365839521e-05,0.9958894728706542,0.0004023287295768527,0.9993788868585948,8.306957048687194e-05,0.9976310902710365,0.00019220458520102755,0.9999301867653628,5.626238245535091e-05,0.99945581183123,0.0005819377932352298,0.0008371676993326532,8.230143750191639e-05,30.70239209999563,5.587941718839705,2.3916930000064895,0.3834110372426257
CICIDS2017,kNN,5,0.996379570851338,0.004334893951650891,0.980603034258275,0.02299691103120446,0.9987373836393152,0.0010846125911326875,0.989486462436193,0.012410705828806145,0.9991415871506304,0.00035370057766307696,0.9929485628439533,0.003099582493271792,0.004098938579584249,0.004995100550798627,2.6558313600020482,0.07671705109231605,140.5926412000088,33.53073970920229
UNSW_NB15,ANN,5,0.8987929797090103,0.0019148593214899155,0.8693440861688737,0.009521224149961614,0.9085291088331944,0.013254463631263917,0.8883930864532843,0.0025198303694089993,0.9718732347004253,0.0015700044302793012,0.9653544594336715,0.0020373425495991914,0.10896373866833385,0.010657895101059738,17.974282800010407,8.519015474255559,0.048231559980195016,0.004513297543538115
UNSW_NB15,Linear SVM,5,0.8157978295382875,0.005213504073635148,0.7398207655812511,0.006363845824321862,0.9021236941488058,0.02770450066246988,0.8127174377106865,0.008700986607172789,0.8987497244321608,0.0030923113106554427,0.8452382412063735,0.008108129746473104,0.25297749296655203,0.015182106677171505,1.776835259993095,0.49829832414175945,0.005648580007255077,0.0009105767770811341
UNSW_NB15,Logistic Regression,5,0.8104260455405493,0.004158652147912383,0.7415989975099633,0.00620343285537473,0.8791112854970817,0.028818206916392818,0.8042518130559271,0.008605016756247297,0.8972491700614974,0.003364392249993746,0.8425742346153849,0.008516441770899375,0.2442950922163176,0.015742138508620888,0.39217363999923693,0.1495797205030965,0.006892900005914271,0.00037586066876053046
UNSW_NB15,Random Forest,5,0.9200495856984406,0.0012634886473443928,0.9007246680748553,0.002708561460383473,0.9212418460934818,0.0007119284392235811,0.9108655946835467,0.0012673742999800423,0.9820072876932533,0.00029908470057177537,0.9782548565757981,0.0005769073856967799,0.0809002813379181,0.0024840270359233084,2.8729975799913516,0.3492934782040205,0.17053652000613512,0.014373711686131484
UNSW_NB15,kNN,5,0.9049520454100607,0.0021376083317636635,0.8850758183158187,0.002677804439791798,0.9028888125950267,0.0022910335404633156,0.8938929562599679,0.0023543659187029603,0.9712393928325393,0.0005338238238090284,0.9603689787312868,0.0006823397929415905,0.09340418880900282,0.0022808722400828618,0.28108845999231563,0.014079774678502325,2.36509852000745,0.2569622417931494
