run,seed,dataset,model,accuracy,precision,recall,f1_score,roc_auc,average_precision,false_positive_rate,training_seconds,prediction_seconds,testing_rows
run_1,42,CICIDS2017,Logistic Regression,0.9102936934886785,0.6632795366668672,0.9511187094649173,0.7815389770654912,0.9714879116301244,0.909700032717464,0.09799159330838807,4.55817970004864,0.12276980001479387,755822
run_1,42,UNSW_NB15,Logistic Regression,0.8109653987516583,0.7392905363937646,0.8862131541517485,0.8061119785857684,0.9021395704899504,0.8407874476082574,0.24898405751797437,0.27648690005298704,0.007131899998057634,45981
run_1,42,CICIDS2017,Random Forest,0.9991333938414071,0.9954539063598444,0.9994275093519877,0.9974367503473105,0.9999674330344019,0.999870800335774,0.0009262958194136961,31.430036999983713,2.50485289999051,755822
run_1,42,UNSW_NB15,Random Forest,0.9194667362606294,0.9002206658351722,0.9203982539604689,0.910197647629441,0.9818283774919792,0.9777946593242834,0.08127539856205064,2.9747497999924235,0.18372430000454187,45981
run_1,42,CICIDS2017,Linear SVM,0.898132099885952,0.6362204809336087,0.925199783551481,0.7539687611841096,0.9597686429910796,0.8751385131864976,0.1073611869319077,15.286963600025047,0.09998100000666454,755822
run_1,42,UNSW_NB15,Linear SVM,0.8124660185728888,0.7406331806282722,0.8880769042130561,0.8076811561879698,0.9027361856897412,0.8433689315192794,0.24777274148171305,2.3828834000159986,0.004744399979244918,45981
run_1,42,CICIDS2017,kNN,0.9984665701712837,0.9918258676257649,0.9991451851968035,0.995472072571855,0.9993041236258211,0.9943360658585206,0.001671152251519555,2.6036287000169978,168.60471939999843,755822
run_1,42,UNSW_NB15,kNN,0.901546290859268,0.880456682337139,0.9001912796115552,0.8902146234994543,0.9702994903242592,0.9597854396294373,0.09737417943107221,0.29543569998349994,2.2387587999692187,45981
run_1,42,CICIDS2017,ANN,0.9896959866211886,0.9454618515734877,0.9964003670214018,0.9702630051623545,0.9989467115487664,0.9946055958615384,0.011664642715606494,173.7409293000237,0.8444644999690354,755822
run_1,42,UNSW_NB15,ANN,0.9005676257584655,0.8756828654220702,0.9041149639511501,0.8896718146718147,0.9725555350358013,0.9662915165145525,0.10225851828696468,31.73010789998807,0.047897899989038706,45981
run_2,13,CICIDS2017,Logistic Regression,0.9197258084575469,0.6933736822005948,0.9397708468940422,0.7979849436803079,0.9725514191449892,0.9060165510860115,0.0843422583474055,6.152814299974125,0.1382406000047922,755822
run_2,13,UNSW_NB15,Logistic Regression,0.8128574846132098,0.7349469654677406,0.9039678257884153,0.8107418567312557,0.8957444265000722,0.8353171438736897,0.2597296030009378,0.1977201999980025,0.006753199966624379,45981
run_2,13,CICIDS2017,Random Forest,0.9991902855434216,0.9959046182463325,0.9993098742873275,0.9976043403715621,0.9998696674326957,0.9988260962038661,0.0008339845521869016,31.25656849995721,2.5584317999891937,755822
run_2,13,UNSW_NB15,Random Forest,0.9184010787064222,0.8966289991894341,0.9223110500760214,0.9092887191141628,0.9816096614502199,0.9775437162936768,0.08471397311659894,2.8162102000205778,0.1726263000164181,45981
run_2,13,CICIDS2017,Linear SVM,0.9070402819711519,0.6577920359835957,0.9358575204096837,0.7725658646485115,0.9692810118091046,0.901533007737662,0.09880807055127334,16.303321100014728,0.09672229998977855,755822
run_2,13,UNSW_NB15,Linear SVM,0.8152715251951893,0.7325513196480938,0.9188778262788758,0.8152032025063093,0.8946332167721684,0.8359972918183834,0.26727102219443577,2.041823600011412,0.005828600027598441,45981
run_2,13,CICIDS2017,kNN,0.9983594020814425,0.9911320622622576,0.9992157662355995,0.995157498457429,0.9992654335835066,0.9938963998141931,0.0018143938730783738,2.7640290000126697,144.31945459998678,755822
run_2,13,UNSW_NB15,kNN,0.9067658380635479,0.88643563405971,0.9057825297954779,0.8960046575940616,0.9714725403959571,0.9597534494993487,0.09245076586433261,0.2967979999957606,2.117946500016842,45981
run_2,13,CICIDS2017,ANN,0.9711492917644631,0.8563886098056007,0.9960160924768455,0.9209400469878469,0.9966991685744134,0.9838291224227499,0.03389733395510808,55.47367269999813,0.7868156000040472,755822
run_2,13,UNSW_NB15,ANN,0.8992409908440443,0.8806532663316583,0.8939133846682035,0.8872337836193258,0.9708438982683953,0.963536683773536,0.09651453579243513,10.357558600022458,0.04459789994871244,45981
run_3,2027,CICIDS2017,Logistic Regression,0.8355207972247434,0.5067119168024731,0.9460996133727542,0.6599616517641009,0.9408181214643385,0.7743298348823282,0.18692076669282154,1.2326691999915056,0.12152859999332577,755822
run_3,2027,UNSW_NB15,Logistic Regression,0.8073987081620669,0.7474361724951727,0.8543332188925401,0.7973177095253353,0.8952505604075137,0.8399968836261572,0.22999374804626446,0.5066466999705881,0.007305300037842244,45981
run_3,2027,CICIDS2017,Random Forest,0.9991439783441075,0.9955161154248754,0.9994275093519877,0.9974679779436224,0.9999740119225219,0.9998794038894897,0.00091356323083069,22.885675900033675,1.8497697999700904,755822
run_3,2027,UNSW_NB15,Random Forest,0.9201409277745156,0.9010219258264165,0.921084898719898,0.9109429569266589,0.9820715791898833,0.9783253119482997,0.08061112847764927,2.5352113000117242,0.15169730002526194,45981
run_3,2027,CICIDS2017,Linear SVM,0.8362722969164698,0.507828618968386,0.9574082642554093,0.6636460250113478,0.9421131163550406,0.7815263042261622,0.18831180199551495,2.7099905000068247,0.10615329997381195,755822
run_3,2027,UNSW_NB15,Linear SVM,0.8094212827037255,0.7477412205932492,0.8605130217274021,0.800173306273231,0.8969087854239113,0.841331182940321,0.23128321350422007,1.0396017999737523,0.004851600038819015,45981
run_3,2027,CICIDS2017,kNN,0.9983210332591536,0.9908092809156507,0.9993177166249716,0.9950453106149046,0.9993462946463482,0.9947159928031623,0.0018812399631391561,2.6802858999581076,155.85678740002913,755822
run_3,2027,UNSW_NB15,kNN,0.9065266088166851,0.8871565372215005,0.90421305605964,0.8956035948506194,0.9713668303574254,0.9601859650858948,0.09163019693654267,0.26759899995522574,2.4404939000378363,45981
run_3,2027,CICIDS2017,ANN,0.9723440175067675,0.8617478996158909,0.9958357187110334,0.9239523114815529,0.9969784960272084,0.9855274744415186,0.03242353682662512,62.79234929999802,0.7912421999499202,755822
run_3,2027,UNSW_NB15,ANN,0.8979361040429743,0.8564356435643564,0.924861444896758,0.8893343080151862,0.9728016334635816,0.9667396785923283,0.1235151609878087,18.446582300006412,0.04948869999498129,45981
run_4,21,CICIDS2017,Logistic Regression,0.9096017316246418,0.6633962389160658,0.9422803949401237,0.7786191276961809,0.9608490609611142,0.8930317369473076,0.0970302828703711,1.2343022999702953,0.12279710004804656,755822
run_4,21,UNSW_NB15,Logistic Regression,0.8156412431221591,0.737442194227396,0.9072539114228261,0.8135816858355508,0.8992145824053512,0.857331690077604,0.2573460456392623,0.4349893999751657,0.00633090001065284,45981
run_4,21,CICIDS2017,Random Forest,0.999241884994086,0.9962470680218921,0.9992706625991076,0.9977565746457698,0.9998675651845942,0.9988107285343777,0.0007639553149803679,38.53110659995582,2.853915100044105,755822
run_4,21,UNSW_NB15,Random Forest,0.9218372806159065,0.9040950868581877,0.9214772671538575,0.9127034248239009,0.9823906113924126,0.9788430586790086,0.07787589871834949,3.417826199962292,0.16034090000903234,45981
run_4,21,CICIDS2017,Linear SVM,0.9071302502441051,0.6573687678453767,0.9388846627402696,0.7733025872565262,0.9621347490600387,0.8861279251738456,0.09931419094744784,15.300932999991346,0.09627340000588447,755822
run_4,21,UNSW_NB15,Linear SVM,0.8194471629586133,0.7343622755652073,0.9287851292363529,0.8202096327096328,0.8995344683909832,0.8575454722317355,0.26766176930290714,1.6697659000055864,0.0069898999645374715,45981
run_4,21,CICIDS2017,kNN,0.9981225738335217,0.9897615163520547,0.9992079238979555,0.9944622877502995,0.9992808602816599,0.9943660334271198,0.0020976939690502605,2.6669685000088066,82.73243040003581,755822
run_4,21,UNSW_NB15,kNN,0.9056349361692874,0.8861514772399192,0.9032321349747413,0.8946102839377231,0.9714340454143773,0.9607821825739874,0.09245076586433261,0.276054700021632,2.775831000006292,45981
run_4,21,CICIDS2017,ANN,0.9962702858609567,0.982397635480177,0.9957337683216613,0.9890207472435026,0.9997472229483095,0.9987918679762608,0.003620829878292369,144.02658710000105,0.7568980000214651,755822
run_4,21,UNSW_NB15,ANN,0.9003066483982515,0.8640866159870998,0.9198587473637746,0.8911008694825866,0.9734935312409336,0.9673797716348146,0.1152703969990622,17.907325600041077,0.055195199965965,45981
run_5,8,CICIDS2017,Logistic Regression,0.9147087541775709,0.6750535866993925,0.9533537756934587,0.7904224711064874,0.9642184660067871,0.897407152882422,0.09313411076397123,2.4473480999586172,0.12495020002825186,755822
run_5,8,UNSW_NB15,Logistic Regression,0.8052673930536526,0.7488791189657424,0.8437883172298789,0.793505834601725,0.8938967105045992,0.8394380078912166,0.2254220068771491,0.5450249999994412,0.0069432000163942575,45981
run_5,8,CICIDS2017,Random Forest,0.9992868691305625,0.9963256563003268,0.9994588787025637,0.9978898080469175,0.9999722562526002,0.9998920301926425,0.0007480395792516103,29.40857250004774,2.191495400038548,755822
run_5,8,UNSW_NB15,Random Forest,0.9204019051347295,0.901656662665066,0.9209377605571631,0.9111952249235696,0.9821362089417717,0.9787675366337223,0.08002500781494216,2.6209903999697417,0.18429379997542128,45981
run_5,8,CICIDS2017,Linear SVM,0.9074782157703798,0.6596556408905648,0.9329166437931818,0.7728424417244875,0.9628592739270316,0.8829975742485268,0.09768441960882304,21.10634120000759,0.09370830003172159,755822
run_5,8,UNSW_NB15,Linear SVM,0.8223831582610208,0.7438158314714332,0.9143655892883418,0.8203198908762898,0.8999359658840002,0.8479483275221481,0.25089871834948424,1.7501015999587253,0.005828400026075542,45981
run_5,8,CICIDS2017,kNN,0.9886282749112887,0.9394864441356473,0.996800326241246,0.9672951427864767,0.9985112236158162,0.9874283223167707,0.013030212841133901,2.56424470001366,151.44981419999385,755822
run_5,8,UNSW_NB15,kNN,0.904286553141515,0.8851787607208249,0.9010250625337192,0.8930316214179812,0.9716240576706779,0.9613378568677655,0.09311503594873398,0.2695549000054598,2.2524624000070617,45981
run_5,8,CICIDS2017,ANN,0.9786113661682247,0.8911056628427316,0.9947848454667367,0.9400953079722228,0.9987445493400737,0.994191885172609,0.024670981953147257,74.93341459997464,0.7633529999875464,755822
run_5,8,UNSW_NB15,ANN,0.8959135295013158,0.8698620395391836,0.8998970032860857,0.8846246564775083,0.9696715754934147,0.9628246466531263,0.10726008127539856,11.429839599994011,0.04397810000227764,45981
